address,price,image
Sabelmarter 10,€ 495.000 k.k.,"data:image/svg+xml;utf8,%3Csvg%20width%3D%22600%22%20height%3D%22400%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3Cg%20fill%3D%22none%22%20fill-rule%3D%22evenodd%22%3E%3Cpath%20fill%3D%22%23FBFBFB%22%20d%3D%22M0%200h600v400H0z%22%2F%3E%3Cpath%20fill%3D%22%23888%22%20fill-rule%3D%22nonzero%22%20d%3D%22M283.2%20277v-54.353h33.6V277h42v-72.47H384L300%20123l-84%2081.53h25.2V277z%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Hagendorenseweg 7,€ 339.000 k.k.,https://casco-media-prod.global.ssl.fastly.net/fd606e84-cdea-5171-b468-d23ca79c3234/348bdd373dd704c4f3a064e78f912eb1.jpg?width=600&auto=webp
Berg 9,€ 487.500 k.k.,"data:image/svg+xml;utf8,%3Csvg%20width%3D%22600%22%20height%3D%22400%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3Cg%20fill%3D%22none%22%20fill-rule%3D%22evenodd%22%3E%3Cpath%20fill%3D%22%23FBFBFB%22%20d%3D%22M0%200h600v400H0z%22%2F%3E%3Cpath%20fill%3D%22%23888%22%20fill-rule%3D%22nonzero%22%20d%3D%22M283.2%20277v-54.353h33.6V277h42v-72.47H384L300%20123l-84%2081.53h25.2V277z%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
De Sitterlaan 2,€ 595.000 k.k.,https://casco-media-prod.global.ssl.fastly.net/62956a94-45e1-510a-83f5-01513ac3c4f3/07cb18b166a399d3f7396f98cd2f7552.jpg?width=600&auto=webp
Braak 82,€ 339.000 k.k.,"data:image/svg+xml;utf8,%3Csvg%20width%3D%22600%22%20height%3D%22400%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3Cg%20fill%3D%22none%22%20fill-rule%3D%22evenodd%22%3E%3Cpath%20fill%3D%22%23FBFBFB%22%20d%3D%22M0%200h600v400H0z%22%2F%3E%3Cpath%20fill%3D%22%23888%22%20fill-rule%3D%22nonzero%22%20d%3D%22M283.2%20277v-54.353h33.6V277h42v-72.47H384L300%20123l-84%2081.53h25.2V277z%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Oude Kerkstraat 59 A,€ 695.000 k.k.,https://casco-media-prod.global.ssl.fastly.net/0ac5a779-e1f6-5533-b782-2580b32123cf/cd4fe7f062f9daff1b5138e5b01342bf.jpg?width=600&auto=webp
Biezenkuilen 45,€ 675.000 k.k.,https://casco-media-prod.global.ssl.fastly.net/78dcc5d6-daad-5d55-af39-ecede063cf26/f720b7a7fe0c6302a2d3d61f30aacdd5.jpg?width=600&auto=webp
Paleisstraat 2,€ 775.000 k.k.,https://casco-media-prod.global.ssl.fastly.net/491bb8ad-b027-587a-8e4e-d180359d1892/d375e1733a583246ffa6bcc81743d3eb.jpg?width=600&auto=webp
De Twijnder 25,€ 350.000 k.k.,"data:image/svg+xml;utf8,%3Csvg%20width%3D%22600%22%20height%3D%22400%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3Cg%20fill%3D%22none%22%20fill-rule%3D%22evenodd%22%3E%3Cpath%20fill%3D%22%23FBFBFB%22%20d%3D%22M0%200h600v400H0z%22%2F%3E%3Cpath%20fill%3D%22%23888%22%20fill-rule%3D%22nonzero%22%20d%3D%22M283.2%20277v-54.353h33.6V277h42v-72.47H384L300%20123l-84%2081.53h25.2V277z%22%2F%3E%3C%2Fg%3E%3C%2Fsvg%3E"
Sint Severinuslaan 63,€ 440.000 k.k.,https://casco-media-prod.global.ssl.fastly.net/f02414ee-781d-5650-9dc3-6d3bc504f08e/514e28e56527813c59523f12464a9a0e.jpg?width=600&auto=webp
